job_title,company_name,exprice,job_description
"Selling Partner Support, Work from Home, Telangana (NA)",Amazon,0-5 Yrs,Shifts: The job involves working in a 24 / 7 environment including night shifts and the...
Media Monitoring Analyst,Cognizant,0-0 Yrs,Must be ready to work in shifts . Graduate or Post Graduate preferably with a degree i...
Online & Offline Business & English language teachers,Global Lt,0-3 Yrs,Minimum of two years of experience
Appointment Generation Executive,Ellora Infotech,0-1 Yrs,Persuasive and results-oriented . A high school diploma or equivalent is preferred . Pr...
Inside Sales Associate,Gupshup Technology,0-2 Yrs, Reach out to potential clients through various channels and generate qualified opport...
GO AI Associate ||0 Delhi-NCR || Work from Home,Amazon,0-2 Yrs,GO AI Associate Work From Home in Delhi-NCR 6 Months ContractHow to ApplyInterested can...
Junior Ad Expert,Paytm,0-2 Yrs,"The ideal candidate will have a strong interest in the field of digital advertising, a ..."
Swedish Language Teachers,Global Lt,0-5 Yrs,Minimum of two years of experience
Online Swedish language teacher,Global Lt,0-4 Yrs,Minimum of 3 years experience. .
Online Maori Language Teacher,Global Lt,0-4 Yrs,Minimum of two years of experience
Online German Language Teacher (Needs To speak Cantonese),Global Lt,0-2 Yrs,Minimum B2 level in Cantonese . Minimum of two years experience
Online German language teacher,Global Lt,0-4 Yrs,Minimum of two years experience. .
Online Dutch language teacher,Global Lt,0-4 Yrs,Minimum of two years experience
New Online Swedish language teacher,Global Lt,0-4 Yrs,Minimum of 3 years experience. .
New Online Dutch language teacher,Global Lt,0-4 Yrs,Minimum of 2 years experience. .
German Language Teachers,Global Lt,0-4 Yrs,Minimum of two years of experience
Dutch Language Teachers,Global Lt,0-4 Yrs,Minimum of two years of experience
Data Entry Intern,Lurnweb Academy,Not specified,Not specified
DevOps Engineer,Isha Foundation,0-3 Yrs,Required Competencies . Educational Qualification : Graduate CICD pipeline experience E...
"Selling Partner Support, Work from Home, Tamil Nadu (NA)",Amazon,0-5 Yrs,Shifts: The job involves working in a 24 / 7 environment including night shifts and the...
"Selling Partner Support, Work from Home, Delhi (NA)",Amazon,0-5 Yrs,Shifts: The job involves working in a 24 / 7 environment including night shifts and the...
"Selling Partner Support, Work from Home, West Bengal (NA)",Amazon,0-5 Yrs,Shifts: The job involves working in a 24 / 7 environment including night shifts and the...
Business Development Executive,Malabar Group.,0-2 Yrs,Must be accurate in handling medical trust functions and answer queries related to Char...
Internships,Vidhi Centre For Legal Policy,Not specified,Not specified
Sr Software Engineer (Python & MERN stack),Health Data Max,1-5 Yrs,"Preferred candidate profile . Python, MERN Stack, TypeScript, Azure / AWS Cloud / Devops"
Associate Manager/ Manager - Instructional Designer,Aptara,15-20 Yrs,"Liaising with stakeholders (SMEs, client) for requirement analysis etcPreferred Skills:..."
FMCG Sales Manager,Sunrise Global,5-10 Yrs,"Sunrise Global (Instant Noodles, etc) We have urgent requirement for Sales Manager & BD..."
Hr Executive And Recruiter,Flipkart,2-5 Yrs,Preferred candidate profile . Have Good communications skills.
Marketing Lead || Immediate Joiner ||,IGT Solutions,9-14 Yrs,Qualifications:-8+ years of total experience with corporate communications and/or marke...
Database Engineer,Teamlease Regtech,1-6 Yrs,Perform other essential DB activities Key Requirements: . 1-5 years of MongoDB experien...
Senior C++ Developer - Fully WFH,Paramlogic Infotech,7-12 Yrs,. Work from home (12:00 PM to 9:00 PM IST) . 7+ years of professional experienceExperi...
Urgent Openings For Course Designer - Pune - Elearning,PES Hr Services A Div Of Amal Infosystems,2-6 Yrs,1+ Yrs exp.Min Graduation requiredlearning exp is must
PHP Developer | Permanent WFH/ Remote,Techno Compass Consulting,2-5 Yrs,"Primary Skills: PHP programming, SQL, CI/CD, JavaScript, HTML, CSS, ORM, ReactJS, GCP, ..."
Head Medical Affairs,Venus Remedies (VRL),8-13 Yrs,Preferred candidate profile . Medical Doctor (MD) with a specialization in a relevant t...
Sales Engineer,Manufacturing Speciality Coating Products,2-7 Yrs,"Preferred candidate profile - Exposure to Thermal power plants, Petro chemicals, cement..."
Senior QA Tester (Arabic) | Permanent WFH/Remote,Techno Compass Consulting,3-8 Yrs,is must
UX Designer (Arabic) | Permanent WFH/Remote,Techno Compass Consulting,2-7 Yrs,"Exp. in Arabic design principle, typography & layout. Exp. in creative and effective de..."
Excellent Opportunity For Senior Accountant,Datamatics Business Solutions,2-5 Yrs,Preferred candidate profile . Desired candidate skills - . Good communication skillsEx...
ServiceNow Integration Architect | Permanent WFH/ Remote,Techno Compass Consulting,5-10 Yrs,"5+ years of Exp. in ServiceNow Architecture, encompassing coding, testing, implementati..."
Sales Director (Retail Tech and Solutions) | Permanent WFH/Remote,Techno Compass Consulting,10-15 Yrs,Generating & closing opportunities through the full sales cycle Developing & maintainin...
Yardi Functional Consultant | Permanent WFH/ Remote,Techno Compass Consulting,3-7 Yrs,Provide technical & Functional support to business for Yardi Voyager Interact & liaise ...
WFH - 3/1 Party U.S Collections | For Mumbai Location Candidates ONLY,Explore 360 Hr Solutions,1-3 Yrs,"Developing payment plans, locating debtors (US Customers) in order to begin the recover..."
"Sales Director (Banking Sector) | India, Dubai",Techno Compass Consulting,10-15 Yrs,Developing & maintaining a quality pipeline of prospects Managing relationships with pr...
Senior QA (SpecFlow) | Permanent WFH/ Remote,Techno Compass Consulting,5-10 Yrs,"Skills: Specflow exp., Strong C# knowledge, BDD / TDD, Selenium Exp. in Specflow, to co..."
Fresher/Trainee Database Developer,Verchaska Infotech,0-1 Yrs,"Training / Internship for a period of 6 months during which monthly stipend will be 20,..."
Sql Developer,Tangoe,4-6 Yrs,"Bachelors degree in information Systems, Computer Science or the equivalent combination..."
Sr Biostatistician II,Thermo Fisher Scientific,5-8 Yrs,Serves as a project lead or lead statistician to deliver on tasks/responsibilities for ...
Medical Writing Specialist III,Thermo Fisher Scientific,3-6 Yrs,Education and Experience: Bachelors degree in a scientific discipline or equivalent and...
Project Support Coordinator,Thermo Fisher Scientific,3-5 Yrs,. Bachelors degree / High school diploma or equivalent and relevant formal academic / v...
Principal Medical Writer,Thermo Fisher Scientific,5-8 Yrs,"About the jobThe Publications and Scientific Communications team, a part of Medical Wri..."
Safety Admin,Thermo Fisher Scientific,4-7 Yrs,"About the jobCoordinates the timely review of protocol inquiries, serious and non-serio..."
Sr Programmer Analyst,Thermo Fisher Scientific,4-6 Yrs,Purpose:Subject matter expert of day-to-day application configuration and maintenance a...
Dot Net Lead - Remote Job,Ness,6-11 Yrs,Location : Remote (Once office opens up should be able to relocate to any of NESS Locat...
Assistant Manager- OTA,Treebo Hotels,2-7 Yrs,Preferred Requirements / Qualifications
Risk Analytics Analyst,Xerox,2-5 Yrs," Designation- Risk Analytics Analyst (Analyst I, Leasing Risk Analytics)Base Location- ..."
Azure Data Engineer,Ness,3-7 Yrs,"Expose data to end users using PowerBI, Azure API Apps or any other modern visualizatio..."
Technician,Hathway,2-5 Yrs,Proven work experience as Internet & Cable Technician
Hiring of MEP Roles For Data Center Project-Hyderabad,Tata Projects,7-12 Yrs,"All MEP profiles, candidates should have experience in data center project with MEP wor..."
Database Administrator(MongoDB),Azuga Telematics,4-6 Yrs,"Bachelor s degree in computer science or other technical, scientific discipline. Proven..."
Dot net and React JS Developer,Leading Client,6-11 Yrs,"HTML + CSS. JSX. JavaScript Fundamentals + ES6. Git. Node + npm. Redux. C#, .Net Core, ..."
Oracle EPM Cloud Functional Consultant,Jdpals Info Tech (Convelox),8-13 Yrs,"Specify required role expertise, previous job experience, or relevant certifications"
Oracle HCM/Payroll Cloud Functional Consultant,Jdpals Info Tech (Convelox),8-13 Yrs, ORACLE HCM CLOUD CONSULTANT(Saudi-Offshore)Company DescriptionConvelox an Oracle Plati...
Video Content Creator,Positive Creations,1-3 Yrs,WANTED VIDEO Content Creators About Business Oppurtunities with good English. Can work ...
Consultant Nutritionist-Marathi,Dr Reddys,1-6 Yrs,Qualification and Experience: . MSc in Food / Nutrition/Dietetics + BSc (Home Science)/...
"Azure Cloud Engineer@ Nttdata, Remote",NTTDATA Business Solutions Pvt Ltd,4-6 Yrs,Experience: 4 to 6 YearsLocation: Remote Notice Period: Immediate to 15 DaysSkills Requ...
Java with AWS,Ness,3-7 Yrs,. Bachelors degree from four-year College or university in Computer Science or related ...
Dot Net Full Stack - Remote Job,Ness,9-13 Yrs,Location : Remote (Once office opens up should be able to relocate to any of NESS Locat...
Big data developer,One of leading insurance firm in the Asia,6-11 Yrs,The ideal candidate must have the following: Be an expert in developing in Java / J2EE ...
Data Scientist II,Confluent India,5-9 Yrs,"Bachelors degree in a quantitative discipline and / or Engineering: Statistics, Compute..."
UI Lead,Ness,8-12 Yrs," Front-End Development: Develop and maintain dynamic, responsive, and user-friendly web..."
Very Urgent - Senior ServiceNow Developer ( Immediate joiner),Bristlecone,5-10 Yrs,"Experience: 5+ Years . JOB LOCATION: Bangalore, Pune & Noida. Notice period: Immediate ..."
Full stack Developer: Finance/Investment/Risk management domain,Cmit Solutions of New York and New Jersey,7-12 Yrs,Role & responsibilities Hands-on and self-driven full stack developer with 7-15 years ...
"Employvision, Inc.",A G Employvision,5-8 Yrs,"Bachelors degree in Marketing, Business, or a related field . 2+ years of experience in..."
Backend with Node.js,Ness,5-10 Yrs," API Development: Design, develop, and maintain efficient and scalable RESTful APIs usi..."
Senior/Lead Functional Consultant - MSD (F&O),Infogain,9-14 Yrs,Role & responsibilities Title: A leadership role responsible for managing a team of MS...
CoE Software Developer QA,Aveva,5-9 Yrs,"Experience in software, database and / or troubleshooting, diagnosis and problem solvin..."
Cloud product Owner,Tangoe,5-8 Yrs,Experience with working with development teams on high complexity systems and working d...
Plsql Developer-Senior,Tangoe,4-6 Yrs,Senior PL/SQL Mapper DeveloperThe Mapping Development team is looking for a Senior SQL ...
Safety Officer,Aaikrupa Infratech,4-6 Yrs,"Specify required role expertise, previous job experience, or relevant certifications"
Manager - New Business Development (Specialty Gas),Vadilal,10-20 Yrs,Preferred candidate profile . Maintaining good and health relationship with customers a...
UX Lead,Qubol,7-12 Yrs," Were looking for a UX Lead with strong skills in UX/UI Design, excellent commun..."
Engineer,Mitsubishi Electric India,3-6 Yrs,JOB DESCRIPTIONDesignation EngineerDepartment Japanese Customer DepartmentSub Departmen...
UI Path Developer,Rackspace Technology,5-7 Yrs,"Bachelor s degree or equivalent in a technology related field required, plus 5 years of..."
"Opening For ""Business Executive"" For OTC division Location: Nizamabad",Lupin,2-4 Yrs,"Key responsibilities:To meet the assigned customers (Retailers, Stockists etc.) in the ..."
Site Engineer - ELV/ICT Works (Railway Project),Tata Projects,3-8 Yrs,"Joint Checklist Preparation and Certification from Client, Other requirements: good co..."
Marketing Executive,HF Flex Pvt Ltd,2-5 Yrs,"To search customer, approach customer, lead generate product presentation make and give..."
We are Hiring For Top MNC Companies For the position AS400 Developer,Allegis Global Solutions (india),3-8 Yrs,"Location: Gurgaon, Noida, Mumbai, Indore, Bangalore, Chennai. Notice Period: 0 to 90 Da..."
Occupational Toxicologist/Industrial Toxicologist (Hazardous chemicals,Albany Molecular (AMRI),3-8 Yrs,Role & responsibilities The OEB Assessor/Occupational/Industrial Toxicologist will ass...
Staff Engineer (Devops Engineer),Nagarro,5-9 Yrs,"Proficiency in architecting, creating and managing cloud infra components such as AWS V..."
Site Engineer - Bridge,M/S N S Manwani,1-5 Yrs,"Preparing BBS, Site Execution, Billing, Good Hands on MS-Excel, Good Hands on Auto Cad,..."
Associate Solution Architect (Presales),Rackspace Technology,4-8 Yrs,. 4 + years of solutions engineering experience or experience working with technologies...
Associate Principal Consultant (Computer Vision & NLP Architect),Nagarro,10-17 Yrs,Experience - 8 - 17 Years Experience in handling large datasets on cloud and on-premise...
Senior Staff Engineer (Computer Vision & NLP Expert),Nagarro,8-13 Yrs,Experience - 8 - 13 years Experience in handling large datasets on cloud and on-premise...
SE-TT Professional,Mondelez,3-8 Yrs,Ensure a maximum visual impact and an optimum shelf availability through merchandising ...
Senior Dot net Developer,Hitachi Ltd.,6-8 Yrs," Working experience in.NET core, C#, ASP.NET WebApis, SQL (EFCore), Microservices arch..."
Security Engineer,Hitachi Ltd.,7-9 Yrs, Perform security penetration testing and vulnerability assessment for web and Micro s...
SAP QA Tester,Hitachi Ltd.,7-9 Yrs, TECHNICAL QUALIFICATIONS 2+ years of experience on SAP applications including a mix...
React JS Developer - Frontend,Hitachi Ltd.,4-6 Yrs,Excellent written and verbal communication skills are must . Requirements: . Extensive ...
QA Professional,Hitachi Ltd.,3-4 Yrs,3-4 years of work experience in C# with Selenium . 2 year of experience in RestSharp Au...
QA Lead,Hitachi Ltd.,6-10 Yrs, 6-10 years of work experience in C# with Selenium 3+ year of experience in RestShar...
Net Developer,Hitachi Ltd.,3-6 Yrs,"Experience 3 to 6 Years . Working experience in.NET core, C#, ASP.NET WebApis, SQL (EFC..."
Java Backend Developer,Hitachi Ltd.,6-8 Yrs,"Experience in AWS in S3, ECS, Lambda . - Experience building scalable, distributed REST..."
Java Backend developer,Hitachi Ltd.,3-5 Yrs,"Experience in AWS in ECS, Lambda . - Experience in Cloud Watch and Cloud front"
IT Bureau Monitoring Analyst,Hitachi Ltd.,7-9 Yrs, Serve as the primary reviewer of regulatory circulars submitted from various bureaus ...
Infrastructure Automation Engineer,Hitachi Ltd.,4-6 Yrs,"Experience with System Center Orchestrator 2012, or later, preferredExperience with JAM..."
GWPC QA Analyst,Hitachi Ltd.,6-9 Yrs,"Experience with testing UI, Web services or batch-based integrations, Web portalsExperi..."
Front End Developer,Hitachi Ltd.,3-5 Yrs,Proven experience in UI development in Angular v10+ . 4+ yrs of experience in developin...
Digital Manufacturing Lead - Distribution & Traction Transformers,Hitachi Ltd.,5-9 Yrs,"Experience in manufacturing digitalization (>5 years) International experience, working..."
DevOps Lead,Hitachi Ltd.,8-10 Yrs,Bachelors degree in Computer Science or equivalent . 4+ Years of Azure DevOps Experienc...
DevOps Professional,Hitachi Ltd.,7-9 Yrs,"Tech Skills: . Extensive experience on EKS, Istio, controllers ."
Creative Designer,Hitachi Ltd.,6-9 Yrs,BFA / MFA /B.Des degree in design or equivalent (e.gThe candidate should have extensive...
Backend Java Developer,Hitachi Ltd.,6-8 Yrs,6+ experience in Java development and Microservices . Professional experience with REST...
Azure System Engineer,Hitachi Ltd.,7-9 Yrs, Possess desktop support experience in an enterprise environment Proven experience...
Automation Testing Professional,Hitachi Ltd.,4-6 Yrs,4+ years of developing and bolstering automated QA systems and associated test strategi...
Dot net Developer,Hitachi Ltd.,3-6 Yrs, Experience 3 to 6 Years Expert in Object Oriented Programming on the .NET platform ...
Dot net Developer,Hitachi Ltd.,4-7 Yrs, Experience 4 to 7 Years Expert in Object Oriented Programming on the .NET platform ...
"Dot net core , Microservices Lead",Hitachi Ltd.,5-8 Yrs, Understand the team dynamics well and should be able to work through the deliverables...
Lead Visual Designer,Browserstack,9-11 Yrs,. Bachelors/ Masters degree in Design/ Computer Science would be an advantageQualificat...
Therapy Business Manager - GI Prima,Abbott,1-5 Yrs, Conduct market research and feasibility studies to analyze the viability of alter...
Area Sales Manager,Niva Bupa Health Insurance,1-6 Yrs,Minimum Qualification Minimum Experience Graduate in any discipline 2-3 yrs of agency s...
Territory Sales Executive,Finolex Industries (FIL),4-8 Yrs,Graduate / Post Graduate with 5 to 8 years of experience in Retail Sales and Project Sa...
Full Stack Senior Java Web Developer,Cognizant,6-11 Yrs,Work location Gurgaon preferred .For Gurgaon associate - need to go to customer Gurgaon...
Opening For Area Manager - Mangalore For Lupin in Cardio Division,Lupin,5-10 Yrs,"Any Graduates (Preferably B Pharma, BSc)/D"
Business Manager Opening For Oncology at Lupin Ltd.,Lupin,2-5 Yrs,"B Pharma, BSc (Preferable). - Non-Science Graduates /DPharma (with minimum one year of ..."
Piping Engineer,Tata Projects,5-10 Yrs,are preferredarerequiresCo-ordinate with civil structural engineers to finalize pipe ra...
Sales Officer- Kolhapur,Relaxo,2-7 Yrs,Sales OfficerDepartment: Sales Work Location: Grade: O1 / O2 Travel Required : Yes Repo...
Associate Staff Engineer (Devops Engineer),Nagarro,4-7 Yrs,Requirements: . Strong knowledge and experience Good knowledge on Continuous Integratio...
Social Media Designer,Paytm,2-3 Yrs,"Bachelor s degree in Graphic Design, Media Arts, or related field is preferred but not ..."
Product Management- Senior Product Manager- App Product,Paytm,5-6 Yrs,"As a senior product manager in the Consumer Engagement product team, your core responsi..."
Digital Marketing Specialist,Paytm,1-2 Yrs,1-2 years of relevant experience in digital marketing . Experience working in startups ...
Sr Python Developer/Lead,Hitachi Ltd.,7-9 Yrs,Exp 7-9 years of experience with Python and MicroserviceExperience in Writing Unit Test...
Senior Java Developer,Hitachi Ltd.,4-6 Yrs, Identify Development requirements from SRS. Review function and design specifications...
Mobile Developer - Flutter,Hitachi Ltd.,3-5 Yrs,Min 3+ years of experience in mobile app development
Java Professional,Hitachi Ltd.,3-5 Yrs,"Experience with containerisation (Docker, Kubernetes) Good Communication skills Degree ..."
Full Stack Developer,Hitachi Ltd.,5-8 Yrs, Requirements: 5-8 years hands-on experience with Java and UI stack. Java Go...
DevOPS Engineer,Hitachi Ltd.,8-12 Yrs, DevOps infra and support for cloud native projects (AWS focus). Experience needed: 8...
Cloud Engineer(FinOps),Hitachi Ltd.,2-4 Yrs,"The candidate must have a minimum of 3 years of hands-on experience in designing, imple..."
C++ developer with Windows system application+SQL,Hitachi Ltd.,7-9 Yrs,"Bachelors Degree in Computer Science, MIS or equivalent professional experience Benefic..."
Business Intelligence - Data Engineer,Hitachi Ltd.,3-4 Yrs,Requirements: Hands-on and deep experience working with Google Data Products (e.g Must ...
Dot Net / Sitecore Support | full-stack Sitecore Developer,Hitachi Ltd.,10-12 Yrs, As the mastermind behind our cutting-edge digital marketing online platforms and webs...
Hse Officer/ Supervisor,Tata Projects,5-10 Yrs,"Prepare HSE plan and ensure the implementation of HSE plan, conducting induction traini..."
Java Developer-US Shift || Immediate Joiner,IGT Solutions,3-8 Yrs,Shift Timings- 4PM -12 AM IST Strong problem-solving skills and the ability to work wel...
TSM Prepaid Thane,Airtel,1-6 Yrs,"Full Time graduate, preferably MBA/ PGDM Strengthen the distribution and sales network ..."
Hiring US-IT recruiter,Hexaware Technologies,3-6 Yrs,"Remote work opportunity, Night Shift . A minimum of 3-6 years of relevant experience in..."
Node JS || Immediate Joiner,Conneqt Digital,5-10 Yrs,Relevant Experience Required: 5 to 10 Years . Proficient understanding of code versioni...
Senior SDE - Customer Engineering | Automation Testing - SDET/ QA,Browserstack,5-8 Yrs, Drive the customer s BrowserStack Technical Product Evaluation (POC) end to end. ...
"Senior Director Analyst, Device & Vehicle Software Technology",Gartner India Research Advisory Services Private Limited,12-15 Yrs,"BE / BTech from Grade A engineering colleges with specialization in Electronics, or Sem..."
Openings For AR collections @ Sutherland,Sutherland,2-7 Yrs,WORK FROM Home ( Immediate joiners& 15 days of NP alone please Apply.) Shift Timing : U...
Backend Web Developer- C++ Java MariaDB || Immediate Joiner,IGT Solutions,4-9 Yrs,"Remote Work- Work from home . Bachelors degree in computer science, information systems..."
ELK Engineer,IGT Solutions,4-8 Yrs," Job Title: Elk EngineerResponsibilities:System Design and Implementation:Design, archi..."
Front End Developer,IGT Solutions,4-8 Yrs,"TypeScript: Strong proficiency in TypeScript, ensuring robust and maintainable codeNext..."
Retail Outlet Incharge,Relaxo,3-6 Yrs,sale & deposit in bank should be reconciled)
Maths & Reasoning Online Tutor and Content Developer | UK Company,PI Academy,1-4 Yrs,Roles and Responsibilities: Online Mathematics and Reasoning tutoring for students aged...
Technical Product Owner (TPO) with AIML / API,Hitachi Ltd.,7-8 Yrs," Join GlobalLogic, to be a valid part of the team working on a huge software project f..."
Technical PO/PM Professional,Hitachi Ltd.,7-8 Yrs,"MBA from renowned (Tier 1, Tier 2) preferred. - The candidate must have 7-8 yrs Experie..."
Azure Synapse Developer,Hitachi Ltd.,7-10 Yrs,"Strong SQL skills . Data modeling experience . Design, develop, and maintain data pipel..."
Vaccine -Associate,Abbott,1-5 Yrs, Conduct market research and feasibility studies to analyze the viability of alterna...
Vaccine - Associate,Abbott,1-4 Yrs, Conduct market research and feasibility studies to analyze the viability of alterna...
Therapy Business Manager,Abbott,1-5 Yrs, Conduct market research and feasibility studies to analyze the viability of alterna...
Regional Associate,Abbott,4-6 Yrs,Minimum 4 years . Experience / Background
Planning Engineer,M/S Jalan Infrastructure LLP,5-8 Yrs,Qualification: BE / BTech in civil ( project management from NICMAR preferred )well ver...
Project Manager Civil,M/S Jalan Infrastructure LLP,8-12 Yrs,Must have Extensive knowledge of Principles and practices of civil engineering and surv...
Site Surveyor,M/S Jalan Infrastructure LLP,8-10 Yrs, Qualification: B. tech / BE/ Diploma in civil Experience: 8 to 10 experience in constr...
Purchase Manger,M/S Jalan Infrastructure LLP,8-12 Yrs,"ob descriptionCompany - Jalan Group of Industries Qualification: Material Management, G..."
Highway Engineer,M/S Jalan Infrastructure LLP,6-8 Yrs,Qualification: - . B Tech/ BE in Civil/ diploma civil. Planning and conceptualizing of ...
Quantity Survey Engineer/ Billing Engineer,M/S Jalan Infrastructure LLP,12-15 Yrs,Company - Jalan Group of Industries Qualification: B Tech/ BE in Civil / Diploma Civil ...
Revenue Operations Manager,S.S. Sharma Associates,5-7 Yrs,Preferred candidate profile . 3-5+ years of experience in a similar role at a growth-st...
Business Development Executive,Clotus Infotech,1-4 Yrs,"Bachelors degree in Business, Marketing, or related fieldProven experience in IT busine..."
Senior Network Engineer,Synergy It Solutions Inc,5-10 Yrs,"Minimum of 5 years experience in network engineering, preferably in a senior roleProfic..."
Staff Engineer ( Infrastructure -Cloud Engineer),Nagarro,6-9 Yrs,Strong knowledge and experience in Cloud Migration Expert (AWS / Azure / GCP) Well vers...
Vaccines - Associate,Abbott,1-5 Yrs, MAIN PURPOSE OF ROLE Conduct market research and ...
Vaccines - Associate,Abbott,1-5 Yrs, Conduct market research and feasibility studies to analyze the viability of altern...
Vaccine - Regional Associate,Abbott,4-9 Yrs, Responsible for coordinating and executing activities involving the analysis of b...
Vaccine - Associate,Abbott,1-5 Yrs, Conduct market research and feasibility studies to analyze the viability of altern...
Therapy Business Manager - GI Prima,Abbott,1-5 Yrs, Conduct market research and feasibility studies to analyze the viability of altern...
Regional Associate,Abbott,4-9 Yrs, MAIN PURPOSE OF ROLE Responsible for coordinating an...
Regional Associate,Abbott,1-5 Yrs,Minimum 4 years . Experience / Background
Associate Vaccine,Abbott,4-6 Yrs,BSc/ B Pharm or Any Graduate with minimum 2 years of prior experience Prescription audi...
Associate - Vaccines,Abbott,1-5 Yrs, Conduct market research and feasibility studies to analyze the viability of altern...
"Online faculty - (Foundation/JEE/NEET) - Physics, Chemistry, Bio, Math",Enlightriix Academy,1-3 Yrs,"Role & responsibilities . ""Elevate the IIT / NEET learning experience as we teach Mathe..."
C++ Developer with Indesigs / Photoshop,Vimerse Infotech,1-5 Yrs,Conducting performance tuning and optimization of software applications to ensure fast ...
Customer Service Engineer,Exide Energy Private Limited,3-5 Yrs,Diploma / bachelors degree in electrical / Electronic engineering with minimum 3-5 year...
"Required Project Manager & Site Engineer (Civil/Mech), Kannur, Kerala",Kashmiri Lal Constructions Pvtltd,5-10 Yrs,. BE / BTech / M Tech (Civil / Mechanical) from reputed InstitutionMinimum experience s...
Associate Staff Engineer - DBA,Nagarro,4-7 Yrs,"We're Nagarro, we are a Digital Product Engineering company that is scaling in a big w..."
Staff Engineer - Game Development,Nagarro,6-9 Yrs," We're Nagarro, we are a Digital Product Engineering company that is scaling in a big ..."
Software Developer - Nice CXOne (WFH),Teleperformance (TP),3-8 Yrs,. Education: Bachelors or Masters degree in computer science preferredRequired Skillset...
"Opening For ""Business Executive"" For OTC division Location: Raipur",Lupin,2-4 Yrs,"Key responsibilities:To meet the assigned customers (Retailers, Stockists etc.) in the ..."
Staff Consultant - Business Analyst (Med. & Radiation Therapy Domain),Nagarro,6-9 Yrs,We're Nagarro.We are a Digital Product Engineering company that is scaling in a big way...
Power Bi Architect || Remote Work || Immediate Joiner,IGT Solutions,8-13 Yrs,Shift Timings- 4PM to 12AM IST . .
Senior Engineer (Salesforce Marketing Cloud),Nagarro,3-5 Yrs,Must have experience in integrating Marketing cloud with various other clouds and third...
Senior Staff engineer (Java Backend),Nagarro,7-11 Yrs,"Relevant experience in Java 8 or higher, Spring boot and Microservices Architecture, Ju..."
Senior Engineer (Python),Nagarro,3-5 Yrs, We're Nagarro.We are a Digital Product Engineering company that is scaling in a big wa...
Principal Consultant - Supply Chain Analytics,Evalueserve India,8-12 Yrs,or equivalent workexperience . 8+ years of industryexperience with working with data / ...
Account Executive - Corporates and Professional Services,Evalueserve India,4-6 Yrs,"Requires a Bachelors degree (orforeign equivalent) in Computer Science, Computer Applic..."
Consultant,Evalueserve India,2-4 Yrs,"Requires a Bachelors degree (orforeign equivalent) in Computer Engineering, Statistics,..."
Consultant - Data Engineer,Evalueserve India,5-7 Yrs,". Bachelors degree in Computer Science, Information Systems, Engineering, or a related ..."
Content Marketing Manager - Financial Services,Evalueserve India,2-3 Yrs,"Manage robust sponsoredcontent workflow, ensuring all deadlines are met and coordinatin..."
Senior Analyst - Equity Research,Evalueserve India,1-4 Yrs,Very good level of Excel (VBA / programming skills not required) . 2+ years of relevant...
Senior Renewals Specialist,Browserstack,2-5 Yrs,2+ years of Renewals or Account Management experience in a SaaS organization . Strong c...
Customer Support (Quality ) - Lead,Adani Group,18-27 Yrs,Qualification : BE / B Tech (Full Time). Preferred candidate profile : . Must have expe...
Management Intern,Logikality,0-1 Yrs,The internship will be for a duration of 3 to 6 monthsCurrently pursuing or recently co...
Insurance Advisor,Ditto Insurance,0-5 Yrs,This team is ideal for individuals seeking flexibility in their work schedule since we ...
"MSc Mathematics, Mathematics Modelling, M.Sc Maths",The Hr Bulb,0-5 Yrs,"Candidate should have passion for writing and reviewing content of manuscripts, PhD art..."
Talent Acquisition Specialist,Aviate Education,0-5 Yrs,Create a meaningful candidate experience
Management Trainee,XL Management,0-1 Yrs,We are seeking a dynamic Management Intern to join our teamGraduate / postgraduate stud...
Customer Care | Work From Home | Upto 4LPA CTC | Freshers Welcome,Spsg Tophire,0-5 Yrs,Location - Permanently Remote / Work from Home. Timings - 9 hours inclusive of 1-hour b...
Sound Engineer,Pocket Fm,0-5 Yrs,- Remote working . - Flexible working hours. - Full time employment (Third Party Payrol...
Internet Safety Evaluator professionals,TELUS International,0-4 Yrs,Requirements . You must be fluent in written and verbal English & Telugu . You must be ...
Customer Success Intern,Personifwy,0-1 Yrs,"Cross-functional Collaboration: Collaborate with Sales, Product Development, and Market..."
Medical Coding Trainer CPC Certified,UG Training Academy,0-4 Yrs,"Work from home, Anywhere in India Part Time / Full Time Part Time Job - Willing to hand..."
IT Service Management Analyst (ITSM),Parexel,5-8 Yrs,ITIL V4 Certified. Experience successfully evolving IT processes. . BS / BA or relevant...
Cloud / AWS Engineer,Cybage,4-8 Yrs,Minimum educational qualification should be from technical stream like Bachelors Degree...
Azure Data Engineer,Sterlite Technologies (STL),5-10 Yrs,"As Data engineer, Develop and build AI/ML model ready data ponds using Azure Databrick..."
Project Manager,Skyone Landmark,10-15 Yrs,"This includes setting & managing client expectations, developing a detailed project pla..."
Investment Advisor,Dev Gadhvi Creations Pvt Ltd,4-9 Yrs,"Proven track record of success in closing high-value sales deals, preferably in a B2C o..."
MIS Associate,Dev Gadhvi Creations,3-8 Yrs,Benefits . Work from home. Requirements . Must have good verbal and written communicati...
Marathi To English Translator (Freelancer),Lokmat Media,1-4 Yrs,Preferred candidate profile
Automation Testing - Functional Testing _Neosoft,Excelvana,6-11 Yrs,Automation Testing with (Functional Testing Rest Assured Cypress-API Cypress-Web BDD-Cu...
Senior .NET Core Developer,Trigyn Technologies,6-8 Yrs,"Minimum education: Preferably BE, BTech, MCAMust be able to work independently as well ..."
